raman_shift,arithmetic_mean_discrete_interpolated,spline_mean_functional,robust_median_functional,wasserstein_exact_quantile_fallback,wasserstein_exact_quantile
1267.5,0.01788557551472032,0.01782463762976244,0.018688860403380556,0.016622606695714297,0.016622606695714297
1268.75,0.017029426362584834,0.017109651999003342,0.01800067678657787,0.014755949842003348,0.014755949842003348
1270.0,0.0165359637131338,0.01654349091260257,0.017410564065407336,0.014975578108243435,0.014975578108243435
1271.25,0.016302000961394374,0.016244912013285744,0.017035097838841922,0.014591961823374733,0.014591961823374733
1272.5,0.01599972037359238,0.015970822685292246,0.016694337391212483,0.013276508459440802,0.013276508459440802
1273.75,0.015476131203517296,0.0154889521940656,0.016227244858705924,0.014627661632101241,0.014627661632101241
1275.0,0.014787423830791254,0.014943808737165935,0.015757105758944793,0.0163923317218651,0.0163923317218651
1276.25,0.014774695674634679,0.014767066070881619,0.01560724297146186,0.01434585482271104,0.01434585482271104
1277.5,0.014946890054798354,0.014930336865537939,0.015746075199276125,0.012598542603661759,0.012598542603661759
1278.75,0.015112147396026988,0.015105590393488747,0.015956947528994632,0.013956131799237506,0.013956131799237506
1280.0,0.015210969484609696,0.015205109159453506,0.016135987537975214,0.013665514048245887,0.013665514048245887
1281.25,0.015394365708004192,0.015445461564766444,0.01639470841928995,0.012480751001053588,0.012480751001053588
1282.5,0.016053865549268128,0.015972852464698185,0.016907505081565844,0.012846966783617809,0.012846966783617809
1283.75,0.0167335226106554,0.016574306615026395,0.017556210066665183,0.011145976217578905,0.011145976217578905
1285.0,0.01744248006759899,0.017278038814281024,0.018395172787502082,0.008561941619251567,0.008561941619251567
1286.25,0.01854607262791674,0.01844464581343591,0.01975060078770522,0.009783561447245397,0.009783561447245397
1287.5,0.020315047392702644,0.020295553769520577,0.021822907667256804,0.013104484884196674,0.013104484884196674
1288.75,0.022734303652213742,0.022803281627599876,0.02456180562477498,0.013898116770039508,0.013898116770039508
1290.0,0.025560893750477407,0.02560149262041352,0.027726508863719457,0.013029143245179522,0.013029143245179522
1291.25,0.02887030522060188,0.028848783206587472,0.031233803482020425,0.013685951290677408,0.013685951290677408
1292.5,0.03269837833423133,0.03268414411732681,0.03505430945682023,0.015745314616632998,0.015745314616632998
1293.75,0.03661454844160403,0.036549672403033105,0.03886549285914525,0.0162317430839044,0.0162317430839044
1295.0,0.03959132478570129,0.03972602911058291,0.04216148057464799,0.012623909746426862,0.012623909746426862
1296.25,0.04148721454928353,0.04163606102984068,0.04445214975764556,0.010283716570557063,0.010283716570557063
1297.5,0.04261686380631288,0.04254955873257065,0.04571649170407649,0.013889419667816878,0.013889419667816878
1298.75,0.04301764830621055,0.0431771368917538,0.0464287804693113,0.018163909862683673,0.018163909862683673
1300.0,0.04347552796979609,0.043625421631622814,0.046738718342699215,0.017271945265535396,0.017271945265535396
1301.25,0.04344346463474339,0.04355610318196796,0.0464766411669307,0.014950077221231442,0.014950077221231442
1302.5,0.042770526189111154,0.04285110756649201,0.045546402495270984,0.01654743945480588,0.01654743945480588
1303.75,0.041561363291636386,0.04154443076084243,0.04399989208537366,0.020206989557222235,0.020206989557222235
1305.0,0.03957235902874682,0.039598653425361535,0.04184884991869953,0.02240353065203465,0.02240353065203465
1306.25,0.037309996605359594,0.037298027077705395,0.03934537043196103,0.0226677278161256,0.0226677278161256
1307.5,0.03494345245957454,0.03493907459923872,0.03680312780370076,0.020548937008521773,0.020548937008521773
1308.75,0.03267547088883747,0.03279162357512382,0.03442653568740929,0.015321226851077353,0.015321226851077353
1310.0,0.030745376717779698,0.030739663330012403,0.03213045583841464,0.00993139842978761,0.00993139842978761
1311.25,0.028483439469921285,0.028387995443730708,0.029636408296716016,0.007528692095011676,0.007528692095011676
1312.5,0.025895316988844532,0.025783690608660998,0.026925341335279598,0.00728468943155999,0.00728468943155999
1313.75,0.023193716850740856,0.023219653670487648,0.024261159345488257,0.007882433986850967,0.007882433986850967
1315.0,0.02091053679824222,0.02101173524962542,0.021945303364284085,0.010225962096309838,0.010225962096309838
1316.25,0.01914401041590137,0.019188197947822238,0.019988615398514268,0.013214940177648892,0.013214940177648892
1317.5,0.017735132101317216,0.0177222080688629,0.01835181790042646,0.015980292593462817,0.015980292593462817
1318.75,0.01640745369292966,0.016385134076996773,0.016854983257821053,0.019468629392760547,0.019468629392760547
1320.0,0.014972139437154662,0.015061791282996895,0.015419285460016544,0.022725624471662206,0.022725624471662206
