sample_id,l2,weighted_l2,auc,wasserstein_1d,fingerprint_distance,ch_stretch_distance
Heritage toned RT 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.3144726285165973,0.16895074428305618,7.730110149189159,60.194008311762076,0.1960791303093853,0.12112000979017122
Heritage toned RT after 24h 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.3289804052668513,0.16733255327094565,7.186802003029541,86.42331229794569,0.15993188009517842,0.09750990929173672
Heritage toned after heating 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.3298306025602551,0.1641758579744575,3.8369448517898377,160.86209170796985,0.28163634234785206,0.16760247446120732
Heritage toned basic 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.3428951446297871,0.19036338300149605,4.3261556962647205,83.06920620779566,0.24553660024528912,0.1443229374404928
Nandani full cream Cold 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.3027236916477361,0.15208407719376738,6.941893694350902,102.75752319946474,0.10457000254716273,0.13593815171549423
Nandani full cream RT 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.2767316130095357,0.14030487059140287,4.35702744346986,96.3151498549773,0.16839590019433232,0.06941778775696453
Nandani full cream RT after 24 h 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.2914751268457265,0.14233567712856357,5.876377243174488,102.1086290222692,0.12224490432525562,0.1300774684079035
Nandani full cream after heating 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.3294980318890721,0.16924106455026222,3.6202213222955777,185.86721333376403,0.24411359954947712,0.04139689682828467
Nandani full cream basic 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.3428114003625124,0.17385818829446534,5.0178024004292965,157.7794094323853,0.215092519397129,0.07298851849441244
Nandani toned milk Cold 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.23143812813988732,0.11004694097318544,1.4872917857971473,43.087482250600324,0.20909448453273172,0.056492852239610036
Nandani toned milk RT 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole after heating.txt,0.2729747152383389,0.13274454640288133,5.019845192735886,108.64798334604956,0.1783732721752518,0.15950867604506502
Nandani toned milk RT 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.3132879035504473,0.15144878797304853,7.755153971665102,123.62212028338183,0.12874756084212818,0.18605790628103033
Nandani toned milk RT after 24 h 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.20400165427880812,0.09981779794781194,2.6671025548352603,47.4941779966186,0.13699733116168814,0.08241492632132805
Nandani toned milk RT after 24h 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.20723645636196733,0.11359156312928784,3.127833162552811,43.06344251984019,0.16490823041402153,0.05199723172518319
Nandani toned milk basic 532nm 50% 600g 50xL 10s 10times 400-3500cm-1 200hole.txt,0.2966375624582309,0.1499697627803885,2.708904613200488,88.57093041304783,0.2524552338399288,0.12051515880873283
Nestle toned milk Cold 532nm 50% 600g 50xL 7s 20times 400-3500cm-1 200hole.txt,0.6579017102420376,0.2936469079192128,7.8555607781362795,201.2212432689847,0.24070289480021922,0.3532208514970504
Nestle toned milk RT 532nm 50% 600g 50xL 7s 20times 400-3500cm-1 200hole.txt,0.6501172679965804,0.30120732220684115,7.562668173109266,187.81758824728175,0.29371535176139263,0.2605742852732521
Nestle toned milk after heating 532nm 50% 600g 50xL 7s 20times 400-3500cm-1 200hole.txt,0.7692983417643154,0.3638799861935121,9.01062498920001,181.09010785266736,0.35694502574311815,0.3701105706095539
Nestle toned milk basic 532nm 50% 600g 50xL 7s 20times 400-3500cm-1 200hole.txt,0.7351529210040831,0.3376503479560805,8.494601915606921,198.44710864457704,0.28509921431518254,0.38165298781202833
NANDHINI TONED_NON BACTERIA_D2.txt,1.375290976367804,0.46759692792304886,17.23510926909971,339.4245819034326,1.1506688493449748,0.6867655440395358
